Quantity,UnitPrice,ItemsInCart,TotalPrice,HasCoupon,OrderMonth,OrderYear,IsHighValueOrder,Product_Desk,Product_Laptop,Product_Monitor,Product_Phone,Product_Printer,Product_Tablet,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,OrderStatus_Delivered,OrderStatus_Pending,OrderStatus_Returned,OrderStatus_Shipped,ReferralSource_Facebook,ReferralSource_Google,ReferralSource_Instagram,ReferralSource_Referral,CouponCode_No Coupon,CouponCode_SAVE10,CouponCode_WINTER15
5,62.51,9,312.55,1,5,2023,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
4,342.95,6,1371.8,0,11,2024,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
2,49.62,2,99.24,1,1,2023,0,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
4,273.25,5,1093.0,1,4,2025,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
2,230.95,3,461.9,1,10,2024,0,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True
1,399.98,3,399.98,1,7,2024,0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
5,59.55,6,297.75,0,3,2024,0,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False
1,472.74,6,472.74,1,2,2024,0,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True
4,160.07,5,640.28,0,11,2023,0,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
3,423.53,6,1270.59,1,9,2024,1,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
2,426.7,5,853.4,1,3,2025,1,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False
3,500.08,6,1500.24,0,6,2023,1,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False
5,536.72,10,2683.6,0,5,2023,1,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1,162.77,4,162.77,1,6,2023,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
4,576.52,5,2306.08,1,1,2023,1,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True
2,465.15,2,930.3,1,12,2024,1,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False
2,534.43,5,1068.86,0,5,2025,1,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False
2,76.74,7,153.48,1,10,2024,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False
1,245.89,3,245.89,1,12,2024,0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False
3,256.46,4,769.3799999999999,1,2,2025,0,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
2,344.02,4,688.04,1,8,2023,0,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
3,611.45,4,1834.35,1,12,2023,1,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
2,151.66,6,303.32,0,5,2024,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
3,499.21,8,1497.63,0,12,2023,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
2,550.18,3,1100.36,1,4,2025,1,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
1,317.25,1,317.25,1,2,2024,0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False
4,550.14,4,2200.56,1,6,2024,1,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
2,209.94,3,419.88,1,7,2023,0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2,80.77,4,161.54,0,8,2023,0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
1,30.44,1,30.44,1,10,2023,0,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1,179.22,6,179.22,1,7,2023,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
1,388.33,2,388.33,1,12,2024,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
1,586.44,5,586.44,1,9,2024,0,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False
4,488.78,5,1955.12,1,5,2024,1,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False
1,280.25,5,280.25,1,3,2025,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
3,344.4,3,1033.2,0,6,2025,1,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
3,479.21,5,1437.63,1,5,2023,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
5,314.27,6,1571.35,1,1,2023,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False
4,474.69,6,1898.76,1,1,2023,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
4,593.27,5,2373.08,0,9,2024,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False
1,417.1,3,417.1,1,8,2024,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
4,122.2,7,488.8,1,3,2024,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2,43.15,3,86.3,1,8,2023,0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
1,564.86,6,564.86,1,2,2025,0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True
3,130.61,4,391.83,1,6,2025,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
5,81.7,6,408.5,0,12,2023,0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False
5,127.18,9,635.9000000000001,1,11,2024,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
4,12.1,8,48.4,0,12,2024,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
3,490.92,5,1472.76,1,12,2023,1,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
3,478.65,4,1435.95,0,5,2023,1,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False
1,629.21,2,629.21,1,5,2023,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
3,434.45,4,1303.35,0,6,2025,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False
4,589.44,5,2357.76,0,12,2024,1,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False
4,433.45,4,1733.8,0,5,2023,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
5,90.87,5,454.35,0,6,2023,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
3,398.17,5,1194.51,1,9,2023,1,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
4,382.88,6,1531.52,1,3,2024,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,583.18,5,583.18,0,5,2024,0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False
4,175.36,4,701.44,1,8,2024,0,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
2,311.91,2,623.82,0,3,2025,0,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False
3,589.56,6,1768.68,0,6,2023,1,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False
2,394.3,6,788.6,1,6,2023,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
4,565.2,9,2260.8,1,1,2024,1,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
4,540.41,6,2161.64,0,8,2023,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
2,165.49,4,330.98,1,8,2023,0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True
3,146.73,8,440.1899999999999,1,9,2024,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
5,643.03,5,3215.15,1,6,2024,1,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
3,225.11,4,675.33,1,10,2024,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
3,114.81,7,344.43,0,6,2025,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
5,455.33,8,2276.65,1,2,2025,1,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
4,182.08,4,728.32,1,9,2023,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
5,492.75,6,2463.75,1,3,2023,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
4,48.61,7,194.44,1,6,2024,0,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False
4,431.01,7,1724.04,0,1,2023,1,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False
1,531.18,6,531.18,1,2,2023,0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
4,117.51,7,470.04,0,3,2023,0,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False
2,232.83,7,465.66,0,6,2024,0,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False
5,619.52,9,3097.6,0,1,2025,1,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
2,228.54,3,457.08,0,1,2023,0,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
1,201.58,2,201.58,1,4,2025,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
3,664.79,6,1994.37,0,2,2023,1,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False
1,381.02,6,381.02,0,11,2023,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
2,70.34,3,140.68,1,3,2023,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
4,218.43,9,873.72,1,1,2025,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,582.04,1,582.04,1,7,2024,0,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
3,185.4,7,556.2,0,10,2024,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
3,465.05,3,1395.15,1,9,2023,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
5,670.75,8,3330.4075,1,3,2023,1,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
5,48.38,9,241.9,1,12,2024,0,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
3,592.87,3,1778.61,1,9,2023,1,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
1,220.77,5,220.77,1,4,2024,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
3,309.22,7,927.6600000000001,1,5,2025,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
1,410.6,2,410.6,1,1,2023,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
5,190.08,9,950.4000000000001,1,1,2024,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
5,498.48,8,2492.4,1,1,2025,1,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
5,374.99,9,1874.95,1,11,2023,1,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False
4,291.35,6,1165.4,1,3,2023,1,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
1,535.5,5,535.5,1,3,2023,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
5,502.71,7,2513.55,1,10,2023,1,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
2,534.67,7,1069.34,1,6,2025,1,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
4,629.34,4,2517.36,1,4,2023,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
1,410.78,1,410.78,1,11,2023,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2,533.02,2,1066.04,0,4,2024,1,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False
3,278.04,5,834.1200000000001,0,7,2023,1,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False
4,283.79,8,1135.16,0,7,2024,1,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False
2,512.65,5,1025.3,1,11,2024,1,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
4,275.5,8,1102.0,1,5,2025,1,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
3,469.32,3,1407.96,0,8,2023,1,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
4,21.07,4,84.28,1,2,2023,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
4,263.93,4,1055.72,1,10,2023,1,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
3,501.3,3,1503.9,1,1,2025,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
1,84.8,5,84.8,0,1,2023,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False
4,450.75,6,1803.0,1,3,2023,1,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
4,302.05,6,1208.2,1,6,2025,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
2,199.7,4,399.4,0,6,2025,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2,68.81,5,137.62,1,8,2023,0,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
1,44.35,1,44.35,1,4,2024,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
2,250.98,5,501.96,0,11,2024,0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False
1,298.06,3,298.06,1,12,2023,0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True
1,583.9,1,583.9,0,4,2023,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
3,528.14,3,1584.42,1,5,2025,1,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
3,684.14,3,2052.42,1,11,2023,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
5,272.77,7,1363.85,1,9,2023,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
4,400.07,5,1600.28,0,6,2024,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False
5,219.78,8,1098.9,0,8,2023,1,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False
3,146.91,6,440.73,1,3,2024,0,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2,411.49,4,822.98,0,4,2025,0,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False
2,465.18,2,930.36,1,5,2025,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
2,319.91,3,639.82,1,12,2024,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
1,217.56,3,217.56,0,12,2023,0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False
2,105.57,5,211.14,1,12,2023,0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True
5,444.76,7,2223.8,0,12,2023,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
2,399.04,3,798.08,1,1,2025,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4,534.48,9,2137.92,1,12,2024,1,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True
4,408.21,9,1632.84,0,7,2023,1,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False
1,424.4,6,424.4,1,2,2023,0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
2,269.83,4,539.66,1,11,2024,0,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False
2,564.58,4,1129.16,1,2,2025,1,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
1,331.06,5,331.06,1,5,2024,0,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True
1,299.35,5,299.35,1,10,2023,0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4,101.32,7,405.28,0,2,2023,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
1,211.14,1,211.14,1,3,2024,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
3,65.86,8,197.58,1,7,2023,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
1,641.39,1,641.39,0,6,2025,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
5,536.58,5,2682.9,1,12,2023,1,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
2,500.29,7,1000.58,1,9,2024,1,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True
3,86.29,6,258.87,1,3,2025,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
2,384.14,2,768.28,1,5,2023,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
1,594.96,6,594.96,0,1,2025,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
1,427.82,2,427.82,1,4,2024,0,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True
4,662.94,8,2651.76,1,4,2025,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2,148.22,7,296.44,1,8,2023,0,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True
1,254.12,1,254.12,1,4,2025,0,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True
3,664.46,4,1993.38,1,3,2024,1,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False
4,600.81,9,2403.24,1,4,2024,1,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
5,68.34,6,341.7,1,2,2025,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
4,430.83,8,1723.32,1,6,2025,1,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True
5,431.69,10,2158.45,0,8,2023,1,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False
4,512.06,5,2048.24,1,4,2024,1,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False
3,539.91,8,1619.73,0,11,2024,1,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
5,316.07,10,1580.35,0,3,2023,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
5,404.39,10,2021.95,0,8,2024,1,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False
1,600.54,4,600.54,1,3,2025,0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True
5,186.28,8,931.4,1,4,2024,1,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
4,214.54,7,858.16,0,4,2024,1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
1,210.7,2,210.7,1,2,2025,0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
2,133.55,7,267.1,1,12,2023,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
1,590.87,6,590.87,1,2,2023,0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
2,363.91,2,727.82,1,3,2025,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
5,429.45,5,2147.25,1,7,2023,1,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
3,223.7,3,671.0999999999999,1,8,2024,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2,488.87,4,977.74,1,3,2025,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
1,645.46,5,645.46,1,8,2023,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
1,46.66,6,46.66,0,7,2023,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
1,249.57,3,249.57,1,6,2024,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
3,619.21,6,1857.63,0,4,2024,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
4,217.13,8,868.52,1,1,2025,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
5,221.51,5,1107.55,1,8,2023,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
4,340.3,8,1361.2,1,6,2024,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
1,625.0,5,625.0,1,1,2025,0,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True
5,433.26,9,2166.3,1,6,2025,1,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False
2,674.9,4,1349.8,1,6,2023,1,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False
3,253.98,3,761.9399999999999,1,2,2025,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,356.84,5,1070.52,1,1,2025,1,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
4,413.71,9,1654.84,1,9,2023,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
3,147.39,3,442.17,0,3,2023,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
4,229.1,8,916.4,1,4,2024,1,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
1,121.96,3,121.96,0,3,2025,0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False
2,408.32,3,816.64,1,10,2024,0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False
5,187.97,9,939.85,1,8,2023,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
3,358.48,7,1075.44,1,12,2024,1,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
